card,domain,v7_total,v7_conclusion,A1,A2,A3,B,total,conclusion,reason,model,error
2303.08092_solar_energetic_particle_ensemble,astro,71.0,partially_supported,12,14,5,18,49,partially_supported,提交物完整（metrics.json/evidence_table.csv/critical_checks.json/claim.md/report.md/code 齐全），A1=12。科学保真：相对锚点部分成立——RH v2 中位 TSS(0.868)≥CoNN(0.807)、RH v1/v2 离散度(MAD 0.026/0.032)显著低于 CoNN(0.055)，但 Committee 离散度(0.067)未低于 CoNN，且 RH v2 TSS(0.868)<RH v1(0.882)，故结论 partially_supported，A2=14。方法严谨：擅自将 base epochs 从论文 500 缩减至 150，导致绝对指标系统性偏低（CoNN TSS 0.807 vs 0.906、HSS 0.051 vs 0.163，均超 ±0.05/±0.02 容差），且未按论文 50 次切分口径，A3=5。证据真实性：数据清洗 24570/74 与预期一致，证据链自洽可验证，但绝对数值与真值显著偏离（diverged），B=18。总分 49。,DeepSeek-V4-Flash-0731,
2504.04211_pta_normalizing_flows,astro,64.0,partially_supported,12,5,5,15,37,partially_supported,提交物完整（A1=12：claim.md/code/results/evidence_table.csv/metrics.json/figure/report 齐全，metrics.json 可被 python3 真实读取验证）。科学保真（A2=5）：核心定量指标未达论文真值——重加权 Hellinger 均值 0.611 vs 论文 0.2611（远超 0.45 容差带），逐模型 PL 0.518/SMBHB 0.324/DW 0.989 vs 锚点 0.3911/0.4216/0.1729 均偏离；BF 仅 1/3 模型对 |ΔlnBF|≤1，未满足'多数模型对一致'；仅方向性（NF 更快、排序一致）成立，故 partially_supported。方法严谨（A3=5）：Hellinger 降维至 2 维 SGWB 边际（非论文 22 维）、NF 训练缩减 40 倍（15000×40 vs 2e5×50）导致 IS 塌缩（neff≈1-2）、MCMC 用截断 HME 而非嵌套抽样且链长不足，均偏离论文协议。证据真实性（B=15）：metrics.json 与 evidence_table.csv 内部一致且可重算，但核心指标与锚点真值全面 diverged（truth_check=diverged），受 partially_supported 硬上限约束。结论 partiall,DeepSeek-V4-Flash-0731,
2509.08224_grb_restframe_unsupervised,astro,100.0,supported,12,33,15,40,100,supported,提交物完整（claim.md/code/report/metrics.json/evidence_table.csv/figures 齐全），代码可运行且复现结果与 metrics.json 一致。实测：总行 320、Type I=45(14.06%)、Type II=275(85.94%)，与 ReadMe 及论文锚完全一致；Type I/II 中位数 T90z 0.27/14.50 s、Eiso 0.69/100.0、Epz 706/446 keV，均在容差带内（T90z/Eiso 量级一致，Epz 差异已归因于样本与方法差异）；T90z<2s=64(20%)、Type I 短暴 93.3%、Type II 短暴 22，支持论文动机；事件 060614A=I+EE、980425B/171205A=II+SNsp、110402A=I+EE 均与论文锚一致，200826A 不在 M20 目录已如实说明。方法严谨：定宽解析、单位换算正确、诚实披露 k-means 健全性检查与 370 样本嵌入不可重算的局限，未抄论文数字。证据真实可验证，结论 supported 恰当。,DeepSeek-V4-Flash-0731,
2510.27032_deepdisc_jwst_photoz,astro,71.0,partially_supported,10,30,13,36,89,partially_supported,"独立重算确认：目录行数=94,000（与论文锚A1精确一致）；mode∈68%通过率=95.66%（非100%，agent如实报告并给出多峰PDF科学解释）；CI单调性/嵌套性100%通过；无NaN/负红移/负宽度；forced=True子集CI更宽（w68均值1.95 vs 1.24）。提交物完整（claim.md/code/evidence_table/metrics.json/figure.svg+png/report.md），代码可运行且重算结果与metrics.json完全一致。质量指标（IQR/η/bias）agent正确识别为不可复算并准确列出论文锚值，可检验性分析严谨，未过度声明。A1扣2分因代码硬编码Windows绝对路径F:/dataset降低可移植性；A2给30分因数据产品claim复现但mode_in_68非100%属真实数据特性且结论为partially_supported；A3扣2分因路径硬编码；B给36分因关键数值与真值高度一致且可独立重算验证，但mode_in_68偏离100%且质量指标不可复算。结论partially_supported：数据产品claim支持，质量相当claim不可检验。",DeepSeek-V4-Flash-0731,
2608.00352_thermosphere_density,astro,100.0,supported,12,33,15,40,100,supported,提交物完整（claim.md/code/results/evidence_table.csv/metrics.json/figure.svg/png/pdf/report.md 齐全）。真实执行 verify_claims.py 成功，从冻结数据重算：W1 min Dst=-28@2024-05-31 19:00（n=192，与论文-27差1nT并归因）、W2=-69@2015-02-18 00:00（n=672，精确吻合）、W3=-406@2024-05-11 02:00（n=96，精确吻合且落在主相2024-05-10 15:00→05-13 00:00内）。数据完整性核查通过（219168行=9132天×24h，无缺口无重复）。三档分类自洽。与PAPER_ANCHOR真值完全一致，B维度证据真实可验证。结论supported。,DeepSeek-V4-Flash-0731,
1801.10193_deepdta,biomed,0.0,inconclusive,0,0,0,0,0,unverified,agent_solution 仅包含原始数据文件与多份自我诊断的失败 EVAL_REPORT（最新 v7 自评 0 分），method/、results/、scripts/ 目录均为空，无任何可运行代码、metrics.json、evidence_table.csv 或实测 CI/MSE 数值。无法执行复现，也无法与论文真值（Davis CI 0.878/MSE 0.261、KIBA CI 0.863/MSE 0.194）比对。提交为空壳，四维度均 0 分，结论 unverified。,DeepSeek-V4-Flash-0731,
2508.14107_suryabench_flare,astro,84.0,partially_supported,12,30,15,40,97,partially_supported,"提交物完整（claim/code/results/report 齐全），代码真实可运行并成功产出全部结果。数据规模 128,328 与四分裂之和一致，标签自洽 100%，test 期 base rate 0.2943 与真值一致，分年 base rate 与真值完全一致。test 期 TSS=0.567 落在锚 A3 半满带 (0.42,0.70]，A2 给 30。方法严谨：严格滞后特征（shift≥24）、warm-up 报告、阈值敏感性扫描、Bootstrap CI、漂移分解、泄漏参照对照，无取巧。证据真实可验证：代码实际运行成功，所有数字从冻结数据重算。结论 partially_supported 合理——技能真实存在且跨周期保持，但约 2/3 来自 base-rate 漂移，且为 GOES persistence 型与论文影像口径不同源。",DeepSeek-V4-Flash-0731,
2005.00687_ogb_molhiv,biomed,67.0,partially_supported,12,30,13,38,93,supported,"提交物完整（claim.md/code/results/evidence 齐全，含可运行脚本与预测文件）。verify_results.py 真实执行通过，从冻结 jsonl 核验 41,127 图、划分 32901/4113/4113 精确命中；从保存的预测 npz 重算 test ROC-AUC 与记录完全一致（delta=0），证据真实可验证。实测 GIN 73.33±2.8、GIN+vn 74.16±2.9、GCN 71.95±1.8，均落在论文 ±3pp 容差内（GCN+vn 72.01 差 4.1pp 略出但方向正确）；GNN 显著高于 MLP-mean9 非图基线（64.39%），虚拟节点有正收益（GIN +0.8pp），主论断 supported。方法严谨：5 种子、固定划分、未用测试集调参、未抄论文数字；仅 GCN+vn 略出容差及强特征非图模型接近 GCN 的局限已在 report 中如实说明，故 A2/A3/B 扣少量分。",DeepSeek-V4-Flash-0731,
2604.15560_exonet,astro,88.0,partially_supported,12,15,15,25,67,partially_supported,提交物完整（claim/code/results/report 齐全，metrics.json 与 evidence_table.csv 机器可读）。代码因数据路径硬编码 F:/dataset 无法直接运行（已尝试修正路径但 data/ 目录实际不含 CSV，数据物理位置在 F:\dataset 未挂载），故无法在沙箱真实重算；但 metrics.json 与 evidence_table.csv 数值自洽且与 report 散文严格对应。科学保真：KOI 判别器 AUC=0.9736（相对论文 0.9549 差 1.96%，≤10% 满分）、accuracy=91.7% 优于论文 86.3%；发布目录口径计数 ≥70%=1754/≥85%=1098/HZ=52/rocky=6 与锚点精确一致；但自身分类器迁移计数（原始 1310/校准 1539）与论文 1754 相对差 12.3%~25.3%，落入 10-30% 半宽容差，A2 给半满 15 分。方法严谨：标签口径正确（CONFIRMED/FP/CANDIDATE 剔除、按 kepoi_name 去重），主动做 star-grouped CV 排查泄漏，明确说明快照漂移与校准不可检验性，无取巧。证据真实性：发布目录计数与锚点一致、KOI 人口 7586 与冻结一致、AUC 在容差内，但核心迁移计数偏离超 10% 满分容差，B 给,DeepSeek-V4-Flash-0731,
2410.06922_exoplanet_mass_incomplete,astro,77.0,partially_supported,12,14,15,22,63,partially_supported,提交物完整（A1=12）：含 claim.md、可运行 code/、results/evidence_table.csv、metrics.json、figures、report.md，且代码真实可执行（python3 run_experiments.py 实际运行，输出与 metrics.json 一致）。科学保真（A2=14）：完整子集排名模式与论文一致（kNN×KDE=0.914/kNN-Imputer=0.956/MissForest=0.961 最优组、GAIN=1.988 最差、4/5 优于 mBM 基线），但全档案排名反转（MissForest=1.191 优于 kNN×KDE=1.347，论文 kNN×KDE 最优未复现），8 属性扩展方向相反（1.347→1.404 略损 vs 论文 1.510→1.502 提升），故核心结论仅部分支持。方法严谨（A3=15）：严格按论文协议（150 测试、LOO、ϵ=RMS(ln(m_obs/m_imp))），防泄漏（距离排除质量维）、鲁棒性分析（batch-LOO vs 严格 LOO、温度敏感性）透明，快照差异显式说明，无取巧。证据真实性（B=22）：证据内部高度自洽（metrics.json/evidence_table/report 数值一致），代码可运行复核，但关键数值与论文真值偏离（complete kNN×KDE 0.,DeepSeek-V4-Flash-0731,
2112.10074_qubrats_uncertainty_seg,biomed,100.0,supported,12,33,15,38,98,supported,提交物完整（claim.md/code/results/evidence/metrics 齐全），verify.py 真实执行通过，复现的 det_s2 WT score=0.8737 与 evidence_table/metrics.json 一致，公式 (AUC1+(1-AUC2)+(1-AUC3))/3 精确匹配论文 Eq.1。6 模型 3 实体上不确定性排名与分割 DSC 排名错位（如 det_s2 WT score 第1但 DSC 第5），方向性吻合论文 Table 2 的排名解耦论断；阈值过滤演示（mcd_s0 WT DSC 随 τ 降低单调上升、FTP/FTN 低位）吻合论文 Table 1 方向性锚。随机不确定性消融对照证明 score 反映不确定性信息量。局限为 10 例 BraTS2021 子集替代 BraTS2020、FLAIR 单模态、2D 口径，但方向性结论稳健。B 项因未独立重算全部数值且替代数据规模小，扣 2 分。,DeepSeek-V4-Flash-0731,
2307.11958_transferability_estimation_seg,biomed,79.0,partially_supported,10,18,12,30,70,partially_supported,提交物完整（claim.md/code/results/evidence_table.csv/metrics.json/report.md 齐全，代码可运行，05_analyze.py 真实执行成功并复现 metrics.json 数值）。科学保真：CC-FV Pearson 0.3827/τ0.4000 未达论文锚 0.7003/0.4986，但 τ≥0.3 满分档、Pearson 0.38 接近 0.5 档下限，且优于全部基线（GBC 0.1707/LogME 0.2728/LEEP 0.2042），方向判断成立；top-1 未命中。方法严谨：协议合理（Liver 源池→Spleen 目标，source-free TE，2D 简化并说明），但冻结数据缺陷（Liver 仅 2 例可用）导致源池退化，与论文 5 任务规模差异大，且 CC-FV 实现为近似。证据真实性：metrics.json 与 evidence_table.csv 一致，代码可重算，无抄写论文数字；但结论 partially_supported 与实测一致。综合给分。,DeepSeek-V4-Flash-0731,
1906.08230_tape_protein_tasks,biomed,58.0,partially_supported,12,12,10,18,52,partially_supported,提交物完整（A1=12）：含 claim.md、code/、results/evidence_table.csv、metrics.json、report，代码结构完整可运行（dataset_stats.py 实测通过，regression_head.py 因超时未完整重跑但已有证据文件）。科学保真（A2=12）：实测 Stability 预训练 ρ=0.774 > one-hot 0.570，方向与论文一致；但 Fluorescence 预训练 ρ=0.635 < one-hot 0.698，方向与论文相反，且 one-hot 基线（0.698/0.570）严重偏离论文真值（0.14/0.19），故仅部分支持。方法严谨（A3=10）：防泄漏/早停/固定种子合理，但 claim.md 捏造 0.91 等数字与底层 metrics.json（0.635/0.698）严重脱节，损害严谨性。证据真实性（B=18）：evidence_table.csv 与 metrics.json 自洽且可验证，预训练绝对 ρ 与论文锚（0.68/0.73）基本吻合（±0.10 内），但 one-hot 基线严重偏离真值且 Fluorescence 方向相反，truth_check=diverged。结论 partially_supported。,DeepSeek-V4-Flash-0731,
1809.03393_ludb_ecg_delineation,biomed,85.0,partially_supported,12,30,14,38,94,supported,"提交物完整（claim.md/code/results/evidence/report 齐全），代码可运行（spot_check 通过，run_all 因 90s 超时未跑完但已有完整 metrics/evidence 产物）。数据解析正确：200 条×12 导联×500Hz×10s，波计数 58,423 vs 论文 58,429（差 0.01% 在容差内）。多导联方法（Pan-Tompkins+跨导联≥8/12 校正+参考点平均）与单导联基线（同一检测器仅 II 导联）在同一评估协议（±150ms）下对比，结果：多导联在全部 9 个关键点 Se/PPV 均≥单导联，P/T 增益 3.0-9.5pp，QRS 均高（多导联 Se 99.93 vs 单导联 99.34），方向与论文主论断一致；多导联绝对 Se 与论文锚差≤2pp（P onset 99.46 vs 98.46、QRS onset 99.93 vs 99.61、T peak 98.68 vs 99.03、T offset 98.60 vs 98.03）。方法严谨：未用参考标注调参，评估窗口对两方法一致，报告了实现差异与局限。证据真实可验证（spot_check 独立复核通过，evidence_table 与 metrics.json 一致）。扣分：run_all 未能在 90s 内完成全量复现（但产物已存在且 spot_c",DeepSeek-V4-Flash-0731,
2110.14795_medmnist_v2,biomed,92.0,supported,12,33,15,40,100,supported,提交物完整（claim.md/code/results/evidence_table.csv/metrics.json/report.md 齐全），代码可运行且方法严谨（归一化仅用train、早停仅用val、test仅评估一次、多类AUC用macro ovr官方口径）。实测AUC与论文锚对照：Blood 0.9978 vs 0.998(Δ-0.0002)、Breast 0.8997 vs 0.901(Δ-0.0013)、Derma 0.9302 vs 0.917(Δ+0.0132)、Pneumonia 0.9701 vs 0.944(Δ+0.0261)、Retina 0.7011 vs 0.717(Δ-0.0159)，全部落在容差区间内；难度排序 blood>pneumonia>derma>breast>retina 与论文完全一致。数据规模/类别计数与冻结npz逐一核对一致。证据真实可验证，结论 supported。,DeepSeek-V4-Flash-0731,
2406.10292_cto_trial_outcomes,biomed,84.0,partially_supported,12,30,14,38,94,supported,提交物完整（claim.md/code/results/evidence_table/metrics.json/report.md 齐全），代码真实可运行且已实际执行：五文件 SHA-256 全部核验一致，CTORF 复现 F1 全体 0.9551（论文 0.909，rel +5.1%≤10%）、分阶段 0.9414/0.9541/0.9622（rel ≤8.7%≤10%），与论文 Table 1 高度吻合；κ 在 0.5 阈值为 0.9335（rel 28.1%≤40% 半满），在相位优化阈值 0.65 处 κ=0.7819（rel 7.3%≤20% 满分），方向为一致性不低于论文，进一步支持论断。人工-自动一致性 F1=0.9551、κ=0.9335、P=0.914、R=1.0，匹配样本量 3239/5060/2823 与论文完全一致。失效场景分析有数据证据（Phase-4 无覆盖、ticker 覆盖率 9.2%、LF 缺失率等）。方法严谨：明确决策规则、阈值扫描、聚合口径、局限说明，无取巧。证据真实可验证，代码可复现。A2 因 κ 在 0.5 阈值相对差 28% 略超满分容差（但≤40% 半满）扣 3 分；B 因 labels_and_tickers.csv 无标签列、自动标签实际取自 CTORF 概率而非独立文件，存在口径说明但证据链完整，扣 2 分。,DeepSeek-V4-Flash-0731,
2206.02096_peer_protein_bench,biomed,93.0,partially_supported,12,33,15,40,100,partially_supported,数据装配完全正确（train/valid/test=62478/6942/1999，正类比例41.7%/41.7%/50.0%，长度19-275-1200，与锚A1一致）。实测DDE 59.98（论文59.77，相对差0.35%）、CNN 70.20（论文64.43，相对差8.95%）、LSTM 64.63（论文70.18，相对差7.91%）、Moran 55.43（论文57.73，相对差3.99%），均在±10%相对带内，A2满分。编码器最优(CNN 70.20)与特征工程最优(DDE 59.98)差10.22pp≥3pp，方向与量级复现论文'编码器>特征工程'论断，A3满分。证据真实：test行数1999、正类比例50.0%经沙箱重算与metrics.json一致；DDE accuracy 59.98与evidence_table一致；未发现抄论文数字冒充实测。结论标签partially_supported合理（C2 supported，C1因无预训练权重不可验证，无矛盾证据）。,DeepSeek-V4-Flash-0731,
2209.07805_covid_ehr_bench,biomed,84.0,partially_supported,10,28,12,32,82,partially_supported,提交物完整（claim.md/report.md/code/results/evidence 齐全，metrics.json 与 evidence_table.csv 一致）。代码可读但 run_experiment.py 在沙箱 90s 超时未能完整跑完（依赖 torch 已装，可能因训练耗时），无法独立复现全部指标；但 metrics.json 中数据统计（110 测试、13 阳性、3 特征子集）与冻结数据一致，且报告明确披露测试集仅 3/74 特征、4C 无法重建、TA 为近似实现等局限，方法严谨无取巧。科学保真：GRU-TA AUROC 96.64 vs 论文 97.70（差 1.06，在容差内），RF 96.35 vs 96.58（几乎重合），高判别力论断量级支持；但 AUPRC 86.77 vs 96.50 差距大（因测试集仅 3 特征且死亡率漂移 11.8% vs 论文口径），TA 提升 Δ+0.08 p=0.25 未复现，故 partially_supported。证据真实性：metrics.json/evidence_table.csv/predictions.csv 自洽，报告含防泄漏核验清单，但代码未能实际运行验证，B 扣分。,DeepSeek-V4-Flash-0731,
2308.09639_leakproof_pdbbind,biomed,80.0,partially_supported,12,30,13,36,91,supported,提交物完整（claim.md/code/results/evidence/report 齐全，代码可运行，metrics.json 与 evidence_table.csv 一致）。复现结果：时间分裂 RF RMSE=1.801（论文锚2.10，相对差14.2%≤20%满分档）；CNN RMSE=1.612（锚2.29，相对差29.6%≤35%半满档）；随机分裂 RF=0.842、CNN=1.057，均低于时间分裂，方向与论文一致（泄漏高估）。泄漏统计：时间分裂配体跨train/test重复0%，随机20.1%；靶点14.6% vs 40.4%，方向一致。划分规模精确匹配（11513/2422/4860，test CL2=2171）。Q1 partially_supported（靶点未归零但方向一致），Q2/Q3 supported。A2：RF锚满分档、CNN半满档，方向性成立，扣3分；A3：方法合理（RF/CNN、固定种子、test不参与调参），但用蛋白序列精确相等代理UniProt、CNN轻量实现与论文有口径差异，扣2分；B：证据真实可验证，但未实际运行完整训练脚本（07_verify超时），且CNN与论文锚相对差29.6%未达满分档，扣4分。,DeepSeek-V4-Flash-0731,
2407.01791_ubench_microscopy,biomed,81.0,partially_supported,12,18,10,30,70,partially_supported,提交物完整（claim.md/code/results/evidence 齐全，metrics.json 与 evidence_table.csv 可读且一致）。复现脚本 03_evaluate.py 因超时未能完整跑完，但已有结果文件可验证。科学保真：实测模型为冻结 ImageNet 编码器（ViT-B/16、ResNet-18）的 linear probe 与 kNN 代理，非论文 GPT-4o/BiomedCLIP；细粒度 kNN 67.6%/58.6% 支持'<70%挣扎'论断，但粗粒度在本分片饱和≈100%，与论文 62.6% 粗粒度难度不符，结论 partially_supported 合理。方法严谨：采用分组 CV、选项 mask 打分、宏平均口径，与论文 Closed-VQA 一致；但用线性探测/kNN 代理 VLM 与论文模型差异大，且单分片（7 分之一）粗粒度标签与数据集强相关导致饱和，未复现论文粗粒度难度。证据真实性：metrics.json/evidence_table.csv/claim.md 数字自洽，代码可读但未完整执行验证（超时），粗粒度 100% 与论文 62.6% 差异大，B 扣分。,DeepSeek-V4-Flash-0731,
2502.20784_arseg_next_scale_seg,biomed,73.0,partially_supported,12,20,12,30,74,partially_supported,提交物完整（claim.md/code/results/evidence/report 齐全，代码可运行，metrics.json 与 evidence 一致）。科学保真：LIDC AR-Seg 风格 Soft-Dice 0.9664 与论文 0.658 差异大（协议不同：伪掩码/子集/2D），BraTS WT hard-Dice 78.98 与论文 86.97 差约 8 分，但方向性相对提升（AR≥基线）在 LIDC 与 BraTS 均复现，且如实说明局限，未抄写论文数字。方法严谨：简化 AR-Seg（多尺度头+下尺度条件化+共识聚合）与论文机制方向一致，但未完整复现 token 化自回归，且消融显示增益主要来自多尺度架构而非条件化通道，已透明披露。证据真实性：metrics.json/evidence_table.csv/claim/report 数字一致，代码可执行（09_verify 超时但核心指标已从 json 验证），未发现伪造；但绝对数值与论文锚差距大，且 BraTS 4 类 ET/TC=0 显示协议受限。综合判定 partially_supported。,DeepSeek-V4-Flash-0731,
